id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1310430130,20141009T000000,459000.0,4,2.75,2790,6600,2.0,0,0,3,9,2790,0,2000,0,98058,47.4362,-122.109,2900,6752
2540830020,20150401T000000,445000.0,3,2.25,1630,6449,1.0,0,0,3,7,1310,320,1986,0,98011,47.7275,-122.232,1620,7429
8835770330,20140819T000000,1057000.0,2,1.5,2370,184231,2.0,0,0,3,11,2370,0,2005,0,98045,47.4543,-121.778,3860,151081
7732400490,20141105T000000,732350.0,4,2.5,2270,7665,2.0,0,0,3,9,2270,0,1986,0,98052,47.6612,-122.148,2450,8706
2800031,20150401T000000,235000.0,3,1.0,1430,7599,1.5,0,0,4,6,1010,420,1930,0,98168,47.4783,-122.265,1290,10320
686450490,20140929T000000,555000.0,3,2.0,2240,11250,1.0,0,0,3,8,2240,0,1968,0,98008,47.6371,-122.119,2200,12500
4215100060,20150320T000000,365000.0,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2006,0,98031,47.4145,-122.166,2653,4927
7853301570,20150430T000000,685000.0,4,2.5,3550,10968,2.0,0,0,3,9,3550,0,2006,0,98065,47.5431,-121.886,3550,8583
7977201845,20140514T000000,525000.0,3,1.75,1600,6120,1.5,0,0,3,7,1600,0,1924,0,98115,47.6847,-122.291,1670,4590
2970800105,20150313T000000,449950.0,4,2.5,2420,5244,2.0,0,0,3,9,2420,0,2007,0,98166,47.4729,-122.35,1400,5250
3024089049,20140609T000000,280000.0,2,1.75,1610,158558,1.5,0,0,2,6,1610,0,1948,0,98065,47.5319,-121.84,1800,3572
8682230550,20140916T000000,428000.0,2,2.0,1350,4225,1.0,0,0,3,8,1350,0,2003,0,98053,47.7106,-122.03,1660,4225
4321200580,20150125T000000,575000.0,3,2.5,1760,2320,2.0,0,2,3,8,1760,0,1994,0,98126,47.5723,-122.376,1760,4698
2595650220,20150421T000000,313100.0,3,2.0,1730,12821,1.0,0,0,3,8,1730,0,1994,0,98001,47.353,-122.272,1980,11336
3629830250,20141222T000000,637500.0,4,3.0,2320,4468,2.0,0,0,3,8,2160,160,1999,0,98029,47.546,-122.009,2330,3541
6908200650,20140527T000000,732000.0,3,2.5,2330,1987,2.0,0,4,3,9,1410,920,2004,0,98107,47.6735,-122.405,2640,5250
6054650070,20141007T000000,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
624069003,20150102T000000,829000.0,4,2.75,2970,59677,1.0,0,2,4,8,1610,1360,1973,0,98075,47.5953,-122.08,2930,42489
5145100460,20140924T000000,469500.0,4,2.5,2090,7241,1.0,0,0,4,7,1140,950,2001,0,98034,47.726,-122.221,1510,7402
6338000032,20140827T000000,537000.0,4,2.0,1560,7104,1.5,0,0,3,7,1140,420,1945,0,98105,47.6714,-122.28,1850,7105
1821059264,20140626T000000,224000.0,4,1.5,1600,9289,1.0,0,0,4,7,1600,0,1959,0,98002,47.3107,-122.212,1540,9918
7202310010,20141020T000000,597500.0,3,2.5,2620,4800,2.0,0,0,3,7,2620,0,2002,0,98053,47.6849,-122.037,2400,4756
98000870,20141001T000000,1059000.0,4,3.5,4460,16271,2.0,0,2,3,11,4460,0,2001,0,98075,47.5862,-121.97,4540,17122
4045500620,20140910T000000,720000.0,3,3.25,3410,25741,2.0,0,0,4,8,3410,0,1993,0,98014,47.6929,-121.868,1660,25865
9276200190,20150416T000000,569950.0,5,1.0,1420,6250,1.5,0,0,4,8,1420,0,1926,0,98116,47.5807,-122.389,1420,6250
1428900033,20141119T000000,576925.0,4,2.5,2630,6100,2.0,0,0,3,8,2630,0,2004,0,98072,47.7735,-122.167,2360,5765
8669180390,20140604T000000,285000.0,3,2.5,2437,5136,2.0,0,0,3,7,2437,0,2011,0,98002,47.3517,-122.21,2437,4614
7312900060,20140603T000000,235000.0,2,1.0,720,4840,1.0,0,0,4,6,720,0,1947,0,98126,47.5534,-122.375,1510,4840
2457200040,20150506T000000,280000.0,3,2.25,1810,7630,1.0,0,0,4,7,1810,0,1959,0,98056,47.497,-122.18,1830,7594
5662100110,20150218T000000,440000.0,3,2.5,1830,6807,2.5,0,0,5,7,1830,0,1954,0,98155,47.7613,-122.322,1340,6807
8820902350,20141203T000000,810000.0,4,3.5,3470,7396,2.0,0,3,3,8,2520,950,1979,0,98125,47.7146,-122.279,2360,10541
9541800065,20140609T000000,625000.0,3,1.75,2210,16200,1.0,0,0,3,8,1390,820,1958,0,98005,47.5924,-122.175,2050,16200
2722059183,20141014T000000,218500.0,4,1.75,1400,25500,1.0,0,0,4,7,1400,0,1964,0,98042,47.36,-122.164,2170,25500
2213000030,20140512T000000,1264000.0,4,3.75,3490,9170,2.0,0,0,3,9,3490,0,2012,0,98004,47.5991,-122.2,1810,8470
7283900185,20140604T000000,415000.0,4,2.5,2000,5962,2.0,0,0,3,8,2000,0,1999,0,98133,47.7695,-122.35,1790,10500
